Id,ActivityHour,TotalIntensity,AverageIntensity
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-19,0,0
8792009665,2016-04-20,0,0
8792009665,2016-04-20,0,0
8792009665,2016-04-20,2,0.033333
8792009665,2016-04-20,0,0
8792009665,2016-04-20,0,0
8792009665,2016-04-20,1,0.016667
8792009665,2016-04-20,0,0
8792009665,2016-04-20,0,0
8792009665,2016-04-20,0,0
8792009665,2016-04-20,2,0.033333
8792009665,2016-04-20,0,0
8792009665,2016-04-20,8,0.133333
8792009665,2016-04-20,13,0.216667
8792009665,2016-04-20,0,0
8792009665,2016-04-20,1,0.016667
8792009665,2016-04-20,1,0.016667
8792009665,2016-04-20,5,0.083333
8792009665,2016-04-20,47,0.783333
8792009665,2016-04-20,10,0.166667
8792009665,2016-04-20,12,0.2
8792009665,2016-04-20,33,0.55
8792009665,2016-04-20,15,0.25
8792009665,2016-04-20,8,0.133333
8792009665,2016-04-20,1,0.016667
8792009665,2016-04-21,9,0.15
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-21,0,0
8792009665,2016-04-22,1,0.016667
