Id,ActivityHour,StepTotal
4558609924,2016-04-15,0
4558609924,2016-04-15,0
4558609924,2016-04-15,0
4558609924,2016-04-15,0
4558609924,2016-04-15,0
4558609924,2016-04-15,0
4558609924,2016-04-15,0
4558609924,2016-04-15,110
4558609924,2016-04-15,269
4558609924,2016-04-15,411
4558609924,2016-04-15,468
4558609924,2016-04-15,459
4558609924,2016-04-15,1578
4558609924,2016-04-15,962
4558609924,2016-04-15,237
4558609924,2016-04-15,414
4558609924,2016-04-15,932
4558609924,2016-04-15,259
4558609924,2016-04-15,1238
4558609924,2016-04-15,234
4558609924,2016-04-15,10
4558609924,2016-04-15,150
4558609924,2016-04-15,64
4558609924,2016-04-16,89
4558609924,2016-04-16,0
4558609924,2016-04-16,11
4558609924,2016-04-16,0
4558609924,2016-04-16,0
4558609924,2016-04-16,0
4558609924,2016-04-16,0
4558609924,2016-04-16,0
4558609924,2016-04-16,0
4558609924,2016-04-16,270
4558609924,2016-04-16,604
4558609924,2016-04-16,128
4558609924,2016-04-16,514
4558609924,2016-04-16,464
4558609924,2016-04-16,917
4558609924,2016-04-16,573
4558609924,2016-04-16,465
4558609924,2016-04-16,279
4558609924,2016-04-16,364
4558609924,2016-04-16,2036
4558609924,2016-04-16,384
4558609924,2016-04-16,30
4558609924,2016-04-16,29
4558609924,2016-04-16,108
4558609924,2016-04-17,32
4558609924,2016-04-17,0
4558609924,2016-04-17,0
4558609924,2016-04-17,0
4558609924,2016-04-17,0
4558609924,2016-04-17,0
4558609924,2016-04-17,0
4558609924,2016-04-17,0
4558609924,2016-04-17,0
4558609924,2016-04-17,360
4558609924,2016-04-17,661
4558609924,2016-04-17,2127
4558609924,2016-04-17,2483
4558609924,2016-04-17,258
4558609924,2016-04-17,717
4558609924,2016-04-17,246
4558609924,2016-04-17,336
4558609924,2016-04-17,800
4558609924,2016-04-17,45
4558609924,2016-04-17,659
4558609924,2016-04-17,272
4558609924,2016-04-17,349
4558609924,2016-04-17,284
4558609924,2016-04-17,5
4558609924,2016-04-18,0
4558609924,2016-04-18,0
4558609924,2016-04-18,0
4558609924,2016-04-18,0
4558609924,2016-04-18,0
4558609924,2016-04-18,0
4558609924,2016-04-18,0
4558609924,2016-04-18,120
4558609924,2016-04-18,401
4558609924,2016-04-18,329
4558609924,2016-04-18,292
4558609924,2016-04-18,893
4558609924,2016-04-18,309
4558609924,2016-04-18,487
4558609924,2016-04-18,243
4558609924,2016-04-18,292
4558609924,2016-04-18,3396
4558609924,2016-04-18,547
4558609924,2016-04-18,463
4558609924,2016-04-18,596
4558609924,2016-04-18,471
4558609924,2016-04-18,92
4558609924,2016-04-18,9
4558609924,2016-04-18,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,0
4558609924,2016-04-19,27
4558609924,2016-04-19,480
4558609924,2016-04-19,444
4558609924,2016-04-19,197
4558609924,2016-04-19,386
4558609924,2016-04-19,1134
4558609924,2016-04-19,503
4558609924,2016-04-19,882
4558609924,2016-04-19,501
4558609924,2016-04-19,278
4558609924,2016-04-19,539
4558609924,2016-04-19,30
4558609924,2016-04-20,29
4558609924,2016-04-20,0
4558609924,2016-04-20,0
4558609924,2016-04-20,0
4558609924,2016-04-20,0
4558609924,2016-04-20,0
4558609924,2016-04-20,0
4558609924,2016-04-20,0
4558609924,2016-04-20,0
4558609924,2016-04-20,0
4558609924,2016-04-20,69
4558609924,2016-04-20,442
4558609924,2016-04-20,305
4558609924,2016-04-20,442
4558609924,2016-04-20,315
4558609924,2016-04-20,252
4558609924,2016-04-20,190
4558609924,2016-04-20,453
4558609924,2016-04-20,723
4558609924,2016-04-20,640
4558609924,2016-04-20,499
4558609924,2016-04-20,100
4558609924,2016-04-20,139
4558609924,2016-04-20,205
4558609924,2016-04-21,58
4558609924,2016-04-21,0
4558609924,2016-04-21,11
4558609924,2016-04-21,0
4558609924,2016-04-21,0
4558609924,2016-04-21,0
4558609924,2016-04-21,0
4558609924,2016-04-21,188
4558609924,2016-04-21,1190
4558609924,2016-04-21,1096
4558609924,2016-04-21,1954
4558609924,2016-04-21,1449
4558609924,2016-04-21,1045
4558609924,2016-04-21,556
4558609924,2016-04-21,548
4558609924,2016-04-21,446
4558609924,2016-04-21,803
4558609924,2016-04-21,1498
4558609924,2016-04-21,1686
4558609924,2016-04-21,422
4558609924,2016-04-21,212
4558609924,2016-04-21,271
4558609924,2016-04-21,208
4558609924,2016-04-21,102
4558609924,2016-04-22,32
4558609924,2016-04-22,62
4558609924,2016-04-22,0
4558609924,2016-04-22,0
4558609924,2016-04-22,0
4558609924,2016-04-22,0
4558609924,2016-04-22,0
4558609924,2016-04-22,0
4558609924,2016-04-22,0
4558609924,2016-04-22,235
4558609924,2016-04-22,487
4558609924,2016-04-22,387
4558609924,2016-04-22,147
4558609924,2016-04-22,365
4558609924,2016-04-22,438
4558609924,2016-04-22,829
4558609924,2016-04-22,367
4558609924,2016-04-22,317
4558609924,2016-04-22,4688
4558609924,2016-04-22,73
4558609924,2016-04-22,520
4558609924,2016-04-22,173
4558609924,2016-04-22,454
4558609924,2016-04-22,27
4558609924,2016-04-23,489
4558609924,2016-04-23,56
4558609924,2016-04-23,0
4558609924,2016-04-23,0
4558609924,2016-04-23,0
4558609924,2016-04-23,0
4558609924,2016-04-23,0
4558609924,2016-04-23,0
4558609924,2016-04-23,0
4558609924,2016-04-23,385
4558609924,2016-04-23,269
4558609924,2016-04-23,145
4558609924,2016-04-23,187
4558609924,2016-04-23,387
4558609924,2016-04-23,1265
4558609924,2016-04-23,838
4558609924,2016-04-23,551
4558609924,2016-04-23,350
4558609924,2016-04-23,640
4558609924,2016-04-23,516
4558609924,2016-04-23,256
4558609924,2016-04-23,399
4558609924,2016-04-23,8
4558609924,2016-04-23,149
4558609924,2016-04-24,0
4558609924,2016-04-24,0
4558609924,2016-04-24,0
4558609924,2016-04-24,0
4558609924,2016-04-24,0
4558609924,2016-04-24,0
4558609924,2016-04-24,0
4558609924,2016-04-24,0
4558609924,2016-04-24,522
4558609924,2016-04-24,422
4558609924,2016-04-24,1081
4558609924,2016-04-24,420
4558609924,2016-04-24,1046
4558609924,2016-04-24,214
4558609924,2016-04-24,657
4558609924,2016-04-24,1136
4558609924,2016-04-24,484
4558609924,2016-04-24,563
4558609924,2016-04-24,401
4558609924,2016-04-24,395
4558609924,2016-04-24,219
4558609924,2016-04-24,239
4558609924,2016-04-24,271
4558609924,2016-04-24,483
4558609924,2016-04-25,98
4558609924,2016-04-25,54
4558609924,2016-04-25,0
4558609924,2016-04-25,0
4558609924,2016-04-25,0
4558609924,2016-04-25,0
4558609924,2016-04-25,0
4558609924,2016-04-25,0
4558609924,2016-04-25,0
4558609924,2016-04-25,359
4558609924,2016-04-25,476
4558609924,2016-04-25,289
4558609924,2016-04-25,272
4558609924,2016-04-25,499
4558609924,2016-04-25,570
4558609924,2016-04-25,670
4558609924,2016-04-25,1641
4558609924,2016-04-25,358
4558609924,2016-04-25,433
4558609924,2016-04-25,654
4558609924,2016-04-25,449
4558609924,2016-04-25,990
4558609924,2016-04-25,283
4558609924,2016-04-25,0
4558609924,2016-04-26,0
4558609924,2016-04-26,0
4558609924,2016-04-26,0
4558609924,2016-04-26,0
4558609924,2016-04-26,0
4558609924,2016-04-26,0
4558609924,2016-04-26,0
4558609924,2016-04-26,0
4558609924,2016-04-26,192
4558609924,2016-04-26,491
4558609924,2016-04-26,303
4558609924,2016-04-26,628
4558609924,2016-04-26,334
4558609924,2016-04-26,228
4558609924,2016-04-26,150
4558609924,2016-04-26,1319
4558609924,2016-04-26,152
4558609924,2016-04-26,2600
4558609924,2016-04-26,1500
4558609924,2016-04-26,124
4558609924,2016-04-26,651
4558609924,2016-04-26,187
4558609924,2016-04-26,64
4558609924,2016-04-26,225
4558609924,2016-04-27,72
4558609924,2016-04-27,0
4558609924,2016-04-27,0
4558609924,2016-04-27,0
4558609924,2016-04-27,0
4558609924,2016-04-27,0
4558609924,2016-04-27,0
4558609924,2016-04-27,0
4558609924,2016-04-27,0
4558609924,2016-04-27,263
4558609924,2016-04-27,601
